iter	Passed	Remaining
1292	12688	2031
1293	12697	2021
1294	12706	2011
1295	12715	2001
1296	12725	1991
1297	12735	1981
1298	12745	1972
1299	12754	1962
1300	12765	1952
1301	12775	1942
1302	12784	1932
1303	12794	1923
1304	12804	1913
1305	12814	1903
1306	12823	1893
1307	12833	1883
1308	12842	1873
1309	12852	1864
1310	12861	1854
1311	12871	1844
1312	12881	1834
1313	12890	1824
1314	12900	1814
1315	12910	1805
1316	12919	1795
1317	12929	1785
1318	12939	1775
1319	12948	1765
1320	12958	1755
1321	12968	1746
1322	12978	1736
1323	12987	1726
1324	12997	1716
1325	13007	1706
1326	13017	1697
1327	13027	1687
1328	13036	1677
1329	13046	1667
1330	13055	1657
1331	13065	1647
1332	13075	1638
1333	13085	1628
1334	13095	1618
1335	13104	1608
1336	13114	1598
1337	13124	1589
1338	13134	1579
1339	13144	1569
1340	13153	1559
1341	13163	1549
1342	13172	1539
1343	13182	1530
1344	13191	1520
1345	13201	1510
1346	13210	1500
1347	13220	1490
1348	13229	1480
1349	13239	1471
1350	13249	1461
1351	13258	1451
1352	13268	1441
1353	13278	1431
1354	13288	1421
1355	13297	1412
1356	13306	1402
1357	13316	1392
1358	13326	1382
1359	13336	1372
1360	13346	1363
1361	13356	1353
1362	13365	1343
1363	13375	1333
1364	13384	1323
1365	13394	1313
1366	13403	1304
1367	13413	1294
1368	13423	1284
1369	13432	1274
1370	13442	1264
1371	13452	1255
1372	13461	1245
1373	13472	1235
1374	13481	1225
1375	13490	1215
1376	13500	1205
1377	13509	1196
1378	13519	1186
1379	13528	1176
1380	13538	1166
1381	13547	1156
1382	13557	1146
1383	13567	1137
1384	13578	1127
1385	13587	1117
1386	13596	1107
1387	13606	1097
1388	13616	1088
1389	13625	1078
1390	13635	1068
1391	13645	1058
1392	13654	1048
1393	13664	1039
1394	13674	1029
1395	13684	1019
1396	13693	1009
1397	13703	999
1398	13712	989
1399	13722	980
1400	13732	970
1401	13741	960
1402	13751	950
1403	13761	940
1404	13771	931
1405	13781	921
1406	13791	911
1407	13801	901
1408	13811	891
1409	13820	882
1410	13829	872
1411	13839	862
1412	13848	852
1413	13857	842
1414	13868	833
1415	13877	823
1416	13886	813
1417	13896	803
1418	13905	793
1419	13914	783
1420	13924	774
1421	13933	764
1422	13943	754
1423	13952	744
1424	13962	734
1425	13972	725
1426	13982	715
1427	13991	705
1428	14001	695
1429	14011	685
1430	14021	676
1431	14030	666
1432	14039	656
1433	14049	646
1434	14059	636
1435	14069	627
1436	14078	617
1437	14088	607
1438	14098	597
1439	14108	587
1440	14118	578
1441	14127	568
1442	14137	558
1443	14146	548
1444	14156	538
1445	14165	529
1446	14175	519
1447	14185	509
1448	14194	499
1449	14204	489
1450	14214	480
1451	14224	470
1452	14234	460
1453	14243	450
1454	14253	440
1455	14263	431
1456	14273	421
1457	14282	411
1458	14292	401
1459	14302	391
1460	14311	382
1461	14321	372
1462	14331	362
1463	14340	352
1464	14350	342
1465	14360	333
1466	14370	323
1467	14379	313
1468	14389	303
1469	14400	293
1470	14409	284
1471	14419	274
1472	14429	264
1473	14439	254
1474	14448	244
1475	14458	235
1476	14467	225
1477	14476	215
1478	14486	205
1479	14496	195
1480	14505	186
1481	14515	176
1482	14526	166
1483	14535	156
1484	14545	146
1485	14555	137
1486	14564	127
1487	14574	117
1488	14585	107
1489	14595	97
1490	14604	88
1491	14614	78
1492	14624	68
1493	14633	58
1494	14643	48
1495	14653	39
1496	14663	29
1497	14672	19
1498	14682	9
1499	14691	0
